tcp_flag_hex,tcp_flag
00,NULL
01,FIN
02,SYN
03,FIN-SYN
08,PSH
09,FIN-PSH
0a,SYN-PSH
0b,FIN-SYN-PSH
10,ACK
11,FIN-ACK
12,SYN-ACK
13,FIN-SYN-ACK
18,PSH-ACK
19,FIN-PSH-ACK
1a,SYN-PSH-ACK
1b,FIN-SYN-PSH-ACK
40,ECE
41,FIN-ECE
42,SYN-ECE
43,FIN-SYN-ECE
48,PSH-ECE
49,FIN-PSH-ECE
4a,SYN-PSH-ECE
4b,FIN-SYN-PSH-ECE
50,ACK-ECE
51,FIN-ACK-ECE
52,SYN-ACK-ECE
53,FIN-SYN-ACK-ECE
58,PSH-ACK-ECE
59,FIN-PSH-ACK-ECE
5a,SYN-PSH-ACK-ECE
5b,FIN-SYN-PSH-ACK-ECE
80,CWR
81,FIN-CWR
82,SYN-CWR
83,FIN-SYN-CWR
88,PSH-CWR
89,FIN-PSH-CWR
8a,SYN-PSH-CWR
8b,FIN-SYN-PSH-CWR
90,ACK-CWR
91,FIN-ACK-CWR
92,SYN-ACK-CWR
93,FIN-SYN-ACK-CWR
98,PSH-ACK-CWR
99,FIN-PSH-ACK-CWR
9a,SYN-PSH-ACK-CWR
9b,FIN-SYN-PSH-ACK-CWR
c0,ECE-CWR
c1,FIN-ECE-CWR
c2,SYN-ECE-CWR
c3,FIN-SYN-ECE-CWR
c8,PSH-ECE-CWR
c9,FIN-PSH-ECE-CWR
ca,SYN-PSH-ECE-CWR
cb,FIN-SYN-PSH-ECE-CWR
d0,ACK-ECE-CWR
d1,FIN-ACK-ECE-CWR
d2,SYN-ACK-ECE-CWR
d3,FIN-SYN-ACK-ECE-CWR
d8,PSH-ACK-ECE-CWR
d9,FIN-PSH-ACK-ECE-CWR
da,SYN-PSH-ACK-ECE-CWR
db,FIN-SYN-PSH-ACK-ECE-CWR
